KEY_CODE,lon,lat,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
53490130,139.957490151441,40.4119039642333,0.43664738535881,0.58611056804657,0.399894332885742,0.627362281084061,0.617765945196152,0.617765945196152,0.439036810398102,0.375244826078415,0.375244826078415,0.375244826078415,0.375244826078415,0.375244826078415,0.527535337209702,0.527535337209702,0.481020617485046,0.484238749742508,0.470666110515595,0.431067848205566,0.425711035728455,0.404649138450623,0.417397445440292,0.423203194141388,0.450990653038025
53490140,139.966267692672,40.4051554978846,0.495150154829025,0.607970213890076,0.499264669418335,0.58007128238678,0.595838594436646,0.595838594436646,0.473244214057922,0.442709684371948,0.442709684371948,0.442709684371948,0.442709684371948,0.442709684371948,0.630794727802277,0.630794727802277,0.585032606124878,0.5822221159935,0.55279443860054,0.508216369152069,0.49782674908638,0.481602770090103,0.480812901258469,0.484286946058273,0.505058616399765
53490150,139.968619692277,40.4038457905236,0.519354456663132,0.609749448299408,0.515209573507309,0.573711079359055,0.594100022315979,0.594100022315979,0.486978816986084,0.452435344457626,0.452435344457626,0.452435344457626,0.452435344457626,0.452435344457626,0.646640717983246,0.646640717983246,0.600637078285217,0.59417040348053,0.562043392658234,0.513694983720779,0.50652329325676,0.490669947862625,0.491241550445557,0.49543644785881,0.515844488143921
53490160,139.972209757425,40.4034523288882,0.53116050362587,0.601398706436157,0.531253838539124,0.55695104598999,0.577325612306595,0.577325612306595,0.50021840929985,0.458515006303787,0.458515006303787,0.458515006303787,0.458515006303787,0.458515006303787,0.637896513938904,0.637896513938904,0.589259362220764,0.58346883058548,0.547519618272781,0.49825576543808,0.494634163379669,0.482452070713043,0.483000409603119,0.490968585014343,0.512984895706177
53490170,139.972273313289,40.4007816518565,0.536995530128479,0.600333642959595,0.529380011558533,0.545970928668976,0.580617493391037,0.580617493391037,0.481054157018662,0.47174106836319,0.47174106836319,0.47174106836319,0.47174106836319,0.47174106836319,0.657816684246063,0.657816684246063,0.614026021957397,0.608343839645386,0.57014924287796,0.521755248308182,0.517002254724503,0.502062487602234,0.500653147697449,0.50718155503273,0.52489230632782
53490180,139.978207445605,40.3987799783733,0.554238611459732,0.590604090690613,0.54181222319603,0.538276553153992,0.565414440631866,0.565414440631866,0.489835774898529,0.466986107826233,0.466986107826233,0.466986107826233,0.466986107826233,0.466986107826233,0.665087878704071,0.665087878704071,0.618124759197235,0.608667528629303,0.562075066566467,0.524675691127777,0.52202296257019,0.50474619269371,0.502799034118652,0.513058346509933,0.528872972726822
53490190,139.981398349093,40.3982090841145,0.55317131280899,0.577774322032928,0.543108606338501,0.539807254076004,0.560025829076767,0.560025829076767,0.491878616809845,0.477527385950088,0.477527385950088,0.477527385950088,0.477527385950088,0.477527385950088,0.654290235042572,0.654290235042572,0.607690525054932,0.598837149143219,0.550811564922333,0.51319939494133,0.513497602939606,0.498648005723953,0.495825916528702,0.510616344213486,0.529742413759232
53490280,139.982245835008,40.4164942816553,0.482511848211288,0.479647839069366,0.348025953769684,0.610919034481049,0.588575965166092,0.588575965166092,0.427698600292206,0.18875198662281,0.18875198662281,0.18875198662281,0.18875198662281,0.18875198662281,0.209430029988289,0.209430029988289,0.136618168652058,0.12099097147584,0.117626243829727,0.10255184918642,0.12997191529721,0.128848128765821,0.162679711729288,0.226771135628223,0.276498171687126
53490010,139.990007289971,40.3851649732982,0.563979959487915,0.590470194816589,0.552416706085205,0.554878586530685,0.534913909435272,0.534913909435272,0.499289190769196,0.476730924844742,0.476730924844742,0.476730924844742,0.476730924844742,0.476730924844742,0.632694756984711,0.632694756984711,0.61582458615303,0.609762072563171,0.573703122138977,0.524881166219711,0.531832802295685,0.511319673061371,0.50769237279892,0.51216447353363,0.530596911907196
53490020,140.001513628007,40.380832914854,0.57049275636673,0.600998222827911,0.554463565349579,0.558626979589462,0.534114736318588,0.534114736318588,0.495146584510803,0.426637709140778,0.426637709140778,0.426637709140778,0.426637709140778,0.426637709140778,0.618524324893951,0.618524324893951,0.599435287714005,0.588634544610977,0.554325616359711,0.509584850072861,0.521239471435547,0.504974538087845,0.506705498695373,0.504594922065735,0.522733879089355
53490030,140.004864416503,40.3786349416175,0.575740957260132,0.599263775348663,0.557784819602966,0.558554339408875,0.534515964984894,0.534515964984894,0.500505930185318,0.40374026298523,0.40374026298523,0.40374026298523,0.40374026298523,0.40374026298523,0.614350056648254,0.614350056648254,0.591899544000626,0.580540126562118,0.548148787021637,0.506670373678207,0.515470683574677,0.501864302158356,0.504199254512787,0.499845165014267,0.517767977714539
53490040,140.004885079178,40.3764269855127,0.581774163246155,0.602354979515076,0.552240788936615,0.55952216386795,0.527540284395218,0.527540284395218,0.50241824388504,0.425953412055969,0.425953412055969,0.425953412055969,0.425953412055969,0.425953412055969,0.63501523733139,0.63501523733139,0.612415581941605,0.601285296678543,0.566313403844833,0.523195320367813,0.53088835477829,0.516961359977722,0.515409296751022,0.509167152643204,0.524013191461563
53490050,140.011588833287,40.3776561856613,0.57137598991394,0.596257126331329,0.557632505893707,0.557045948505402,0.541621106863022,0.541621106863022,0.488506937026978,0.330687499046326,0.330687499046326,0.330687499046326,0.330687499046326,0.330687499046326,0.553899586200714,0.553899586200714,0.531178879737854,0.525848585367203,0.494915497303009,0.461540859937668,0.478525960445404,0.466751009225845,0.472286111116409,0.477723944187164,0.49365102648735
