;Cod_setor;lat;long;TIPO;income
35;350270505000038;-48.90906743258135;-24.452633816061326;RURAL;0.4703847519607078
36;350270505000039;-48.82405677507633;-24.534438596895566;RURAL;0.390506636459169
37;350270505000040;-48.87028529217038;-24.539227859738105;RURAL;0.4837008978107633
38;350270510000001;-48.85313218477929;-24.426983320437333;URBANO;0.4239232907720968
39;350270510000002;-48.84813910089343;-24.42668826219932;URBANO;0.4214509188437114
40;350270510000003;-48.81539422064587;-24.42183480564216;RURAL;0.467666112335691
41;350270510000004;-48.840988656129745;-24.384991525342123;RURAL;0.44376031178561576
42;350270510000005;-48.78304985213979;-24.37919822136822;RURAL;0.4726789320911878
43;350270510000006;-48.86150877292441;-24.427861628500207;RURAL;0.4192277004405706
44;350270525000001;-48.91074699638257;-24.383050045558594;URBANO;0.4275374802609097
45;350270525000002;-48.91311585953049;-24.379945189628;URBANO;0.452138196552446
46;350270525000003;-48.90796360554412;-24.379925800159036;URBANO;0.28085718914386265
47;350270525000004;-48.90925475855637;-24.358884221826745;RURAL;0.4509227302885229
48;350270525000005;-48.923023988242605;-24.416960959757798;RURAL;0.21035842034085786
49;350270525000006;-48.981486138489736;-24.395447575080354;RURAL;0.3322078403545889
50;350270530000001;-49.04623465112066;-24.368142116681117;URBANO;0.4788869403634672
51;350270530000002;-49.04958898507631;-24.310839371357385;RURAL;0.4364394021303713
52;350270530000003;-49.011565731254066;-24.358247621167443;RURAL;0.3805819844271963
53;350535105000001;-49.02656568633014;-24.471558214867148;URBANO;0.6149770757531563
54;350535105000002;-49.02245009157363;-24.470557005066482;URBANO;0.5848147061302225
55;350535105000003;-49.02420153842324;-24.47479404945665;URBANO;0.5188825340385785
56;350535105000004;-48.98980687342989;-24.45509783350384;RURAL;0.4373129344041623
57;350535105000005;-48.98597604820073;-24.477688749219578;RURAL;0.5306837237659039
58;350535105000006;-49.03057707377791;-24.514872661605303;RURAL;0.4492885233944552
59;350535105000007;-49.10544961233054;-24.50759622374915;RURAL;0.4990850268565076
60;350535105000008;-49.11818432825688;-24.46386479314808;RURAL;0.5665371284609685
61;350535105000009;-49.14847557399994;-24.395966401486525;RURAL;0.4409105192958574
62;350535105000010;-49.047548369943236;-24.424349784937945;RURAL;0.4923320711832718
63;350535105000011;-48.95519162601014;-24.472828689484725;RURAL;0.4536964118005468
