,Cod_setor,long,lat,TIPO,income,longevity,literacy,Wealth_index_2010,Wealth_index_2015,Wealth_index_2020
705,410310705000006,-49.1520394313504,-25.1739687448496,RURAL,0.535812846476464,0.75,0.9779005524861878,-0.492016959190369,-0.389882516860962,-0.377186089754105
813,412220605000017,-49.3165663773764,-25.1728500590222,URBANO,0.5225789610409894,0.8166666666666667,0.9556580565805658,1.01386445760727,1.07728582620621,1.16559972763062
848,412220605000052,-49.3124025790397,-25.1720415463432,URBANO,0.482751736469376,0.7166666666666667,0.9319752009017854,0.896356844902039,1.02030303478241,1.09509392976761
819,412220605000023,-49.3060590628469,-25.171899342687,URBANO,0.5148022962304416,0.7,0.9848484848484848,0.698703217506409,0.845167791843414,0.911467182636261
708,410310705000009,-49.044308907483,-25.1718845058967,RURAL,0.5208382658099758,0.7833333333333333,0.9006342494714588,-0.542951154708862,-0.414158302545548,-0.386758071184158
814,412220605000018,-49.3107975692263,-25.1693681578371,URBANO,0.5513147488395467,0.6666666666666666,0.9414016525473088,0.777572393417358,0.902107775211334,1.02046251296997
815,412220605000019,-49.3155868204682,-25.1658006477595,URBANO,0.4746262361440495,0.7666666666666667,0.9082207207207208,0.739471065998077,0.857396805286408,0.975566291809082
706,410310705000007,-49.1249130362661,-25.1651713614574,RURAL,0.5570530104125428,0.8166666666666667,0.9021017699115044,-0.471272802352905,-0.3691674888134,-0.342008972167969
712,410310705000013,-48.9132358685786,-25.1613039047063,RURAL,0.38273486682656016,0.8333333333333334,0.8274572649572649,-0.502027904987335,-0.416006320714951,-0.403641492128372
821,412220605000025,-49.3551255599652,-25.1553582859769,RURAL,0.4811696464666086,0.8333333333333334,0.9511494252873564,0.097038024663925,0.148376102745533,0.180894911289215
707,410310705000008,-49.0855566739445,-25.1535617471771,RURAL,0.5416311113778588,0.7666666666666667,0.9177332535885168,-0.492604452371597,-0.396468764543533,-0.385818630456924
709,410310705000010,-48.9992046279611,-25.1521047505253,RURAL,0.4051741728957896,0.8833333333333333,0.7761363636363635,-0.515003478527069,-0.428139078617096,-0.385281193256378
836,412220605000040,-49.2247028575519,-25.1439487348277,RURAL,0.3688863140978277,0.7666666666666667,0.9006568144499179,-0.565855884552002,-0.430216538906097,-0.440317529439926
837,412220605000041,-49.2631880990984,-25.1346772349375,RURAL,0.5143213301835672,0.8666666666666667,0.9028157774737804,-0.556706994771957,-0.428525584936142,-0.454013609886169
822,412220605000026,-49.4049427975163,-25.1325436672578,RURAL,0.4596211949218661,0.8666666666666667,0.9209630552096304,-0.550963187217712,-0.456158071756363,-0.468130999803543
830,412220605000034,-49.3165123800682,-25.1293308181221,RURAL,0.4829481923786989,0.8,0.9214285714285714,-0.538711881637573,-0.493878203630447,-0.436888098716736
834,412220605000038,-49.1319352916778,-25.1254239336388,RURAL,0.4158331958423542,0.9166666666666666,0.8874612317235268,-0.496182686090469,-0.427223616838455,-0.381886306405067
128,350990805000015,-47.9570563272449,-25.1161999256556,RURAL,0.3094347263974594,0.75,0.8351254480286738,-0.602245545387268,-0.574432629346848,-0.551916790008545
711,410310705000012,-48.9301551526218,-25.1087693938661,RURAL,0.4757562784238426,0.75,0.9645390070921984,-0.488030898571014,-0.419583702087402,-0.43527045249939
785,411125805000022,-49.4807544032285,-25.1039353408449,RURAL,0.4840873807507536,0.8166666666666667,0.9198533263488736,-0.551788073778152,-0.443747270107269,-0.44613863825798
784,411125805000021,-49.5330638336965,-25.1037712606382,RURAL,0.4909547655477141,0.85,0.8633879781420765,-0.559746676683426,-0.502294474840164,-0.467858469486237
783,411125805000020,-49.5719337271518,-25.1030243269071,RURAL,0.4309219893289904,0.8166666666666667,0.8288570989078603,-0.506545108556747,-0.480475783348084,-0.487000292539597
833,412220605000037,-49.1375964421938,-25.100120131129,RURAL,0.4585687125790858,0.5166666666666667,0.9583333333333334,-0.48484680056572,-0.41527450978756,-0.402745389938355
832,412220605000036,-49.1996529205096,-25.0992856670565,RURAL,0.4916693551254327,0.85,0.9099053414469236,-0.487239867448807,-0.446196454763413,-0.432198655605316
129,350990805000016,-48.0610324746405,-25.0815068672664,RURAL,0.42119762947948797,0.7166666666666667,0.949074074074074,-0.592515748739242,-0.587797451019287,-0.588162457942963
831,412220605000035,-49.2876356385029,-25.0768487170735,RURAL,0.5332086117836492,0.8333333333333334,0.8595706618962433,-0.543187075853348,-0.529655307531357,-0.522118806838989
829,412220605000033,-49.3459910354226,-25.0753180965255,RURAL,0.5086593384404551,0.85,0.9116228070175438,-0.546529471874237,-0.487314480543137,-0.476204079389572
710,410310705000011,-49.0287264279689,-25.0743905199625,RURAL,0.5056072619146673,0.8333333333333334,0.9265536723163842,-0.526342672109604,-0.429708498716354,-0.433737432956696
823,412220605000027,-49.459086121652,-25.0709968295571,RURAL,0.4578039913166973,0.8666666666666667,0.8840011614401858,-0.581256711483002,-0.507795333862305,-0.518091553449631
716,410310705000017,-48.8928620650964,-25.0607196562656,RURAL,0.4090045698527793,0.75,0.9183673469387754,-0.537694442272186,-0.520670646429062,-0.54657621383667
786,411125805000023,-49.5176488410083,-25.0499974582564,RURAL,0.4789974758347712,0.85,0.945055374720194,-0.599517619609833,-0.56212785243988,-0.56667937040329
744,410520105000022,-49.2024960980279,-25.047541896359,RURAL,0.5194263430373335,0.9,0.9247311827956991,-0.514555114507675,-0.474170607328415,-0.47747585773468
747,410520105000025,-49.0983751199597,-25.0474902871577,RURAL,0.5390620475863571,0.5333333333333333,0.956989247311828,-0.371729212999344,-0.328132700175047,-0.269119425863028
824,412220605000028,-49.4376210606466,-25.0469931256143,RURAL,0.5044368258253011,0.8833333333333333,0.9148936170212766,-0.570099020004272,-0.494296395778656,-0.47945904135704
133,350990805000021,-47.9717268154356,-25.0434380989053,URBANO,0.5669273337419337,0.75,0.9586610203670096,-0.279709032177925,-0.301606392860413,-0.35122013092041
70,350540105000007,-48.5085809708244,-25.0314969734649,RURAL,0.4387085422212445,0.7833333333333333,0.8935988793470978,-0.500856763124466,-0.475420576334,-0.485368448495865
130,350990805000017,-48.1566006246869,-25.0301721026216,RURAL,0.4456901313514475,0.8,0.927536231884058,-0.574991226196289,-0.557011312246323,-0.562188166379929
743,410520105000021,-49.1395480459539,-25.026994771311,RURAL,0.5036957428256489,0.75,0.9227207236360554,-0.536705899238586,-0.477525722980499,-0.491239750385284
859,412788205000005,-49.0383567052372,-25.0232832306474,RURAL,0.4841009494517224,0.85,0.7375810894872479,-0.375599071383476,-0.285523080825806,-0.265235228091478
124,350990805000010,-47.9339591878941,-25.0225626190071,URBANO,0.5364210387890667,0.8,0.9773689831694472,0.452862328290939,0.373131519556045,0.415628182888031
134,350990805000022,-47.9624368670343,-25.0225511010653,URBANO,0.4522718254990286,0.75,0.9271383068875836,-0.088550541549921,-0.143732348829508,-0.16301136687398
123,350990805000009,-47.9340649172626,-25.0163589871156,URBANO,0.5519852478783944,0.8666666666666667,0.9703739229940764,0.545685064792633,0.493208521604538,0.537959277629852
116,350990805000001,-47.9294966524615,-25.0161752368323,URBANO,0.7403560633036202,0.9666666666666668,0.9698146850920204,0.562141966819763,0.486483454704285,0.513156980276108
