Country;Year;lat;lon;nb houshold;wealth_index
angola;2015;-12.101381301879883;14.140703201293945;26;-1.1326385
angola;2015;-9.663517951965332;20.37701416015625;26;0.6698427
angola;2015;-8.9288969039917;13.299542427062988;10;1.5155905
angola;2015;-14.287585258483887;17.621652603149414;26;-0.5591352
angola;2015;-14.211037635803223;13.546262741088867;26;-1.1861184
angola;2015;-5.562043190002441;12.211461067199707;25;1.5846177
angola;2015;-5.580165863037109;12.191222190856934;25;1.6973333
angola;2015;-12.3533353805542;14.778694152832031;22;0.08311084
angola;2015;-11.610190391540527;14.460758209228516;25;-0.95577794
angola;2015;-8.82819652557373;13.335399627685547;25;1.2438675
angola;2015;-8.888833045959473;13.353181838989258;23;1.7684237
angola;2015;-14.2363920211792;12.415433883666992;23;-0.4440743
angola;2015;-9.096903800964355;15.741175651550293;26;-1.061425
angola;2015;-14.666670799255371;17.68669319152832;26;-0.10826232
angola;2015;-14.92175579071045;13.510775566101074;26;1.714279
angola;2015;-8.908462524414062;20.25935173034668;26;-1.2488078
angola;2015;-12.275741577148438;16.026317596435547;26;-0.8464668
angola;2015;-9.553536415100098;16.389127731323242;26;1.148126
angola;2015;-13.705202102661133;14.597440719604492;26;-1.0938611
angola;2015;-15.341304779052734;21.485584259033203;26;-1.036482
angola;2015;-8.697084426879883;19.727542877197266;26;-1.3568355
angola;2015;-7.374192237854004;20.809690475463867;23;1.8061017
angola;2015;-8.910589218139648;13.45499038696289;24;0.68549305
angola;2015;-10.561232566833496;17.424434661865234;26;-0.7654207
angola;2015;-8.88134765625;13.315149307250977;26;1.7518587
angola;2015;-6.819461822509766;13.327338218688965;19;0.82195
angola;2015;-10.15190315246582;19.264745712280273;26;-0.54857486
angola;2015;-8.46119213104248;20.715330123901367;25;-0.2809092
angola;2015;-10.403526306152344;15.529565811157227;16;-0.79047894
angola;2015;-9.643510818481445;20.405183792114258;26;-0.1320091
angola;2015;-12.379010200500488;16.9205379486084;25;0.3179624
angola;2015;-14.338805198669434;14.955618858337402;26;-0.6996906
angola;2015;-8.883893966674805;13.22059440612793;22;1.4792907
angola;2015;-8.586355209350586;13.656794548034668;26;1.3120643
angola;2015;-9.67474365234375;20.379196166992188;26;-0.24261852
angola;2015;-9.531623840332031;16.334123611450195;26;1.3783981
angola;2015;-13.268224716186523;16.286991119384766;23;-1.1094804
angola;2015;-12.538077354431152;13.486180305480957;23;1.1166149
angola;2015;-10.080320358276367;17.556974411010742;23;-0.4235197
angola;2015;-13.970785140991211;13.681502342224121;26;-1.2127905
angola;2015;-14.744742393493652;17.723520278930664;26;-0.7996687
angola;2015;-8.924552917480469;13.172158241271973;26;1.9214829
angola;2015;-9.045968055725098;16.0007381439209;25;-0.69698584
angola;2015;-8.879486083984375;13.295111656188965;15;1.7813367
angola;2015;-9.685428619384766;14.441534042358398;23;1.1525501
angola;2015;-12.473333358764648;14.156655311584473;23;-0.8073603
angola;2015;-15.210033416748047;12.164756774902344;26;0.36473402
angola;2015;-13.592402458190918;13.946598052978516;24;0.19777896
angola;2015;-15.11701774597168;12.150390625;25;-0.1559202
angola;2015;-17.048686981201172;16.503162384033203;26;-1.052314
angola;2015;-8.46601676940918;15.260658264160156;24;-0.44262567
angola;2015;-11.112560272216797;23.708106994628906;18;-0.77709967
angola;2015;-6.149139881134033;12.359349250793457;17;0.8641911
angola;2015;-9.677145004272461;20.395767211914062;26;0.76602787
angola;2015;-6.257806777954102;14.215439796447754;18;-0.0072116815
angola;2015;-10.89942741394043;16.09143829345703;19;-0.6128539
angola;2015;-6.1072001457214355;14.62884521484375;25;-0.0651742
angola;2015;-9.551154136657715;16.360042572021484;23;1.1340973
angola;2015;-12.75725269317627;15.756708145141602;20;1.8371692
angola;2015;-8.42410945892334;20.735780715942383;23;0.6838541
angola;2015;-15.186578750610352;12.172009468078613;26;1.611539
angola;2015;-12.647649765014648;13.3772554397583;25;0.9292605
angola;2015;-9.004046440124512;20.412948608398438;26;-0.77181244
angola;2015;-8.780813217163086;18.00381088256836;20;-0.4809178
angola;2015;-17.193086624145508;15.590494155883789;24;-0.77288526
angola;2015;-8.808396339416504;13.336739540100098;21;1.2478139
angola;2015;-4.766243934631348;12.510689735412598;21;0.51015
angola;2015;-8.845365524291992;13.326871871948242;26;1.3035235
angola;2015;-8.888917922973633;13.483641624450684;26;2.115924
angola;2015;-15.224634170532227;12.176025390625;25;0.48588473
angola;2015;-6.136926174163818;12.354740142822266;20;0.3528143
angola;2015;-9.32007122039795;14.906134605407715;25;1.3553777
angola;2015;-11.756710052490234;19.922086715698242;22;0.46677342
angola;2015;-6.142471790313721;12.359700202941895;20;0.91475946
angola;2015;-7.487094879150391;16.225419998168945;26;-1.0396798
angola;2015;-8.615344047546387;13.546772956848145;25;1.0188468
angola;2015;-4.653519153594971;12.731428146362305;17;0.23624001
angola;2015;-6.613280773162842;15.776277542114258;25;-1.0000894
angola;2015;-15.644770622253418;20.891849517822266;25;-0.7446426
angola;2015;-8.44192123413086;20.717824935913086;25;-0.5438789
angola;2015;-12.58614730834961;13.427717208862305;25;1.4651384
angola;2015;-5.601466178894043;12.191756248474121;25;1.5684042
angola;2015;-15.200577735900879;12.168685913085938;26;1.3404804
angola;2015;-17.957550048828125;20.938077926635742;26;-1.1475629
angola;2015;-10.71006965637207;22.213613510131836;21;-0.3310722
angola;2015;-11.775802612304688;19.90025520324707;26;1.2820568
angola;2015;-12.431779861450195;16.778167724609375;16;-0.5224841
angola;2015;-15.14260196685791;12.177360534667969;24;0.76053286
